Date (LT),Hour,NowCast Conc.,Raw Conc.,Conc. Unit,AQI,AQI Category,QC Name
01/01/2022 02:00,2,130.1,129,ug/m3,190,Unhealthy,Valid
01/01/2022 03:00,3,128.1,126,ug/m3,188,Unhealthy,Valid
01/01/2022 04:00,4,125.1,121,ug/m3,187,Unhealthy,Valid
01/01/2022 05:00,5,125.6,126,ug/m3,187,Unhealthy,Valid
01/01/2022 06:00,6,124.2,120,ug/m3,186,Unhealthy,Valid
01/01/2022 07:00,7,122.7,118,ug/m3,186,Unhealthy,Valid
01/01/2022 08:00,8,123.5,120,ug/m3,186,Unhealthy,Valid
01/01/2022 09:00,9,123.5,121,ug/m3,186,Unhealthy,Valid
01/01/2022 10:00,10,123.6,124,ug/m3,186,Unhealthy,Valid
01/01/2022 11:00,11,124.5,132,ug/m3,187,Unhealthy,Valid
01/01/2022 12:00,12,123.6,120,ug/m3,186,Unhealthy,Valid
01/01/2022 13:00,13,116.6,98,ug/m3,183,Unhealthy,Valid
01/01/2022 14:00,14,107.1,90,ug/m3,178,Unhealthy,Valid
01/01/2022 15:00,15,78.6,57,ug/m3,163,Unhealthy,Valid
01/01/2022 16:00,16,79.8,81,ug/m3,164,Unhealthy,Valid
01/01/2022 17:00,17,71.4,63,ug/m3,159,Unhealthy,Valid
01/01/2022 18:00,18,78.7,86,ug/m3,163,Unhealthy,Valid
01/01/2022 19:00,19,97.8,117,ug/m3,173,Unhealthy,Valid
01/01/2022 20:00,20,106.9,116,ug/m3,178,Unhealthy,Valid
01/01/2022 21:00,21,114.4,122,ug/m3,181,Unhealthy,Valid
01/01/2022 22:00,22,135.2,156,ug/m3,192,Unhealthy,Valid
01/01/2022 23:00,23,150.1,165,ug/m3,200,Unhealthy,Valid
02/01/2022 00:00,0,151.5,153,ug/m3,202,Very Unhealthy,Valid
02/01/2022 01:00,1,146.7,142,ug/m3,198,Unhealthy,Valid
02/01/2022 02:00,2,140.8,135,ug/m3,195,Unhealthy,Valid
02/01/2022 03:00,3,140.4,140,ug/m3,195,Unhealthy,Valid
02/01/2022 04:00,4,142.7,145,ug/m3,196,Unhealthy,Valid
02/01/2022 05:00,5,148.1,154,ug/m3,199,Unhealthy,Valid
02/01/2022 06:00,6,148.7,155,ug/m3,199,Unhealthy,Valid
02/01/2022 07:00,7,153.5,164,ug/m3,204,Very Unhealthy,Valid
02/01/2022 08:00,8,154.8,160,ug/m3,205,Very Unhealthy,Valid
02/01/2022 09:00,9,156,165,ug/m3,206,Very Unhealthy,Valid
02/01/2022 10:00,10,160.9,174,ug/m3,211,Very Unhealthy,Valid
02/01/2022 11:00,11,170.9,190,ug/m3,221,Very Unhealthy,Valid
