Date and Time,NO,PM10,PM2.5
6/30/2020 1:00,-0.47,4.93,3.45
6/30/2020 2:00,-0.67,3.38,2.17
6/30/2020 3:00,-0.72,5.57,3.18
6/30/2020 4:00,-0.15,6.57,3.83
6/30/2020 5:00,0.02,6.59,3.82
6/30/2020 6:00,1.72,10.73,5.18
6/30/2020 7:00,5.68,14.86,6.7
6/30/2020 8:00,8.44,12.63,6.24
6/30/2020 9:00,6.56,13.49,6.67
6/30/2020 9:01,,,
6/30/2020 10:01,,,
6/30/2020 12:00,5.17,9.63,5.7
6/30/2020 13:00,4.24,9.63,5.58
6/30/2020 14:00,3.11,10.32,5.62
6/30/2020 15:00,6.06,11.78,6.25
6/30/2020 16:00,7.08,13.51,7.19
6/30/2020 17:00,7.53,11.25,6.13
6/30/2020 18:00,15.41,9.3,4.95
6/30/2020 19:00,18.36,6.31,3.15
6/30/2020 20:00,11.97,5.62,3.24
6/30/2020 21:00,12.38,6.3,3.8
6/30/2020 22:00,18.18,6.78,4.69
6/30/2020 23:00,24,8.34,5.71
7/1/2020 0:00,13.9,6.36,4.74
7/1/2020 1:00,16.81,5.94,4.72
7/1/2020 2:00,13.83,6.23,4.79
7/1/2020 3:00,17.4,5.99,5.08
7/1/2020 4:00,13.01,5.88,5.06
7/1/2020 5:00,11.73,8.66,7.27
7/1/2020 6:00,5.46,6.61,5.89
7/1/2020 7:00,10.37,5.34,4.23
7/1/2020 8:00,22.68,9.47,7.38
7/1/2020 9:00,25.28,9.93,7.15
7/1/2020 10:00,17.19,7.75,5.66
7/1/2020 11:00,11.85,6.85,5.13
7/1/2020 12:00,13.69,6.89,5.28
7/1/2020 13:00,19.31,8.66,6.31
7/1/2020 14:00,18.27,10.55,7.82
7/1/2020 15:00,9.11,6.62,4.74
7/1/2020 16:00,9.9,6.81,5.06
7/1/2020 17:00,16.08,7.98,5.42
7/1/2020 18:00,26.29,8.35,5.65
7/1/2020 19:00,21.83,7.59,5.18
7/1/2020 20:00,22.76,6.38,4.95
7/1/2020 21:00,25.01,6.58,5.38
7/1/2020 22:00,34.9,7.82,6.17
7/1/2020 23:00,26.03,7.93,6.17
7/2/2020 0:00,10.82,5.28,3.89
7/2/2020 1:00,5.85,5.51,4.12
7/2/2020 2:00,2.74,5.27,3.41
7/2/2020 3:00,5.08,6.04,4.15
7/2/2020 4:00,4.17,8.29,4.46
7/2/2020 5:00,2.78,7.45,3.61
7/2/2020 6:00,5.02,8.14,3.36
7/2/2020 7:00,7.61,8.19,3.96
7/2/2020 8:00,7.84,8.96,4.56
7/2/2020 9:00,5.35,10.19,4.57
7/2/2020 10:00,4.59,8.88,4.47
7/2/2020 11:00,2.56,8.03,3.77
7/2/2020 12:00,3.09,6.29,3.31
7/2/2020 13:00,3.08,7.19,3.41
7/2/2020 14:00,4.02,8.04,3.46
7/2/2020 15:00,2.55,8.78,3.25
7/2/2020 16:00,1.11,5.79,2.72
7/2/2020 17:00,2.84,7.44,3.24
7/2/2020 18:00,3.22,7.65,3.59
7/2/2020 19:00,4.33,7.83,3.72
7/2/2020 20:00,3.83,7.92,3.92
7/2/2020 21:00,4.26,7.74,3.72
7/2/2020 22:00,10.26,8.08,4
7/2/2020 23:00,10.3,7.86,4.36
7/3/2020 0:00,9.9,7.17,3.6
7/3/2020 1:00,5.31,6.35,2.94
7/3/2020 2:00,1,4.12,2.5
