"Date and Time","NO<sub>2</sub>","PM<sub>10</sub>","PM<sub>2.5</sub>"
"2023-04-05 00:00:00",1.51,3.48,2.33
"2023-04-05 01:00:00",0.85,3.38,2.39
"2023-04-05 02:00:00",-0.05,1.19,0.8
"2023-04-05 03:00:00",-0.62,1.18,0.69
"2023-04-05 04:00:00",-0.23,0.85,0.59
"2023-04-05 05:00:00",0.55,1.06,0.66
"2023-04-05 06:00:00",3.48,0.97,0.64
"2023-04-05 07:00:00",12.66,1.67,0.76
"2023-04-05 08:00:00",26.91,5.54,2.1
"2023-04-05 09:00:00",31.59,7.41,2.95
"2023-04-05 10:00:00",16.25,6.24,2.52
"2023-04-05 11:00:00",9.56,6.82,2.23
"2023-04-05 12:00:00",7.09,5.01,2.19
"2023-04-05 13:00:00",6.75,4.16,2.05
"2023-04-05 13:01:00",
"2023-04-05 14:00:00",,5.16,2.12
"2023-04-05 14:01:00",
"2023-04-05 15:00:00",,6.41,2.79
"2023-04-05 16:00:00",,5.79,2.44
"2023-04-05 17:00:00",,6.83,4.75
"2023-04-05 18:00:00",,10.13,6.21
"2023-04-05 19:00:00",,14.28,9.87
"2023-04-05 20:00:00",,13.34,9.04
"2023-04-05 21:00:00",,13.27,9.14
"2023-04-05 21:01:00",,,
"2023-04-05 22:01:00",,,
"2023-04-06 00:00:00",,9.53,6
"2023-04-06 01:00:00",,8.94,5.7
"2023-04-06 02:00:00",,11.37,7.17
"2023-04-06 03:00:00",,11.71,6.53
"2023-04-06 04:00:00",,11.74,7.12
"2023-04-06 05:00:00",,11.19,6.87
"2023-04-06 06:00:00",,9.4,5.57
"2023-04-06 07:00:00",,9.49,6.02
"2023-04-06 08:00:00",,7.49,4.6
"2023-04-06 09:00:00",,5.13,3.12
"2023-04-06 10:00:00",,6.73,3.66
"2023-04-06 11:00:00",,6.7,3.51
"2023-04-06 12:00:00",,5.83,3.18
"2023-04-06 13:00:00",,5.46,3.13
"2023-04-06 14:00:00",,5.24,3.05
"2023-04-06 15:00:00",,4.32,2.15
"2023-04-06 16:00:00",,4.21,1.96
"2023-04-06 17:00:00",,3.92,1.81
"2023-04-06 18:00:00",,3.81,1.97
"2023-04-06 19:00:00",,4.4,2.37
"2023-04-06 20:00:00",,5.74,3.8
"2023-04-06 21:00:00",,8.43,5.72
"2023-04-06 22:00:00",,21.15,14.89
"2023-04-06 23:00:00",,21.44,14.46
"2023-04-07 00:00:00",,16.2,10.81
"2023-04-07 01:00:00",,15.38,10.39
"2023-04-07 02:00:00",,29.17,22.7
"2023-04-07 03:00:00",,18.18,13.46
"2023-04-07 04:00:00",,17.23,13.69
"2023-04-07 05:00:00",,16.16,11.31
"2023-04-07 06:00:00",,14.16,10.76
"2023-04-07 07:00:00",,17.03,12.41
"2023-04-07 08:00:00",,21.76,13.09
"2023-04-07 09:00:00",,21.38,11.34
"2023-04-07 10:00:00",,10.38,5.39
"2023-04-07 11:00:00",,8.28,4.58
"2023-04-07 12:00:00",,9.63,5.4
"2023-04-07 13:00:00",,8.58,4.47
"2023-04-07 14:00:00",,7.88,4.55
"2023-04-07 15:00:00",,7.16,4.19
"2023-04-07 16:00:00",,5.82,2.9
"2023-04-07 17:00:00",,6.13,2.43
"2023-04-07 18:00:00",,4.69,2.63
"2023-04-07 19:00:00",,6.55,3.21
"2023-04-07 20:00:00",,6.57,4.24
"2023-04-07 21:00:00",,15.12,11.31
"2023-04-07 22:00:00",,12.27,9.71
"2023-04-07 23:00:00",,18.23,15.47
"2023-04-08 00:00:00",,14.83,11.13
"2023-04-08 01:00:00",,9.75,7.82
"2023-04-08 02:00:00",,9.8,7.83
"2023-04-08 03:00:00",,9.37,7.07
"2023-04-08 04:00:00",,6.9,5.04
"2023-04-08 05:00:00",,5.85,4
"2023-04-08 06:00:00",,6.27,4.43
"2023-04-08 07:00:00",,6.61,4.52
"2023-04-08 08:00:00",,7.34,4.76
"2023-04-08 09:00:00",,7.46,5.36
"2023-04-08 10:00:00",,6.15,3.34
"2023-04-08 11:00:00",,4.8,2.68
"2023-04-08 12:00:00",,6.76,3.29
"2023-04-08 13:00:00",,7.12,3.99
"2023-04-08 14:00:00",,10.04,6.11
"2023-04-08 15:00:00",,10.56,7.12
"2023-04-08 16:00:00",,13.03,8.39
"2023-04-08 17:00:00",,12.73,9.26
"2023-04-08 18:00:00",,13.04,9.09
"2023-04-08 19:00:00",,12.38,8.54
"2023-04-08 20:00:00",,12.35,8.56
"2023-04-08 21:00:00",,13.25,9.02
"2023-04-08 22:00:00",,11.38,7.64
"2023-04-08 23:00:00",,9.82,6.97
"2023-04-09 00:00:00",,8.63,5.29
"2023-04-09 01:00:00",,8.93,4.46
"2023-04-09 02:00:00",,7.75,5.39
"2023-04-09 03:00:00",,8.54,6.12
"2023-04-09 04:00:00",,9.04,6.23
"2023-04-09 05:00:00",,11.19,6.98
"2023-04-09 06:00:00",,13.54,8.74
"2023-04-09 07:00:00",,12.85,8.79
"2023-04-09 08:00:00",,14,9.26
"2023-04-09 09:00:00",,12.95,9.45
"2023-04-09 10:00:00",,14.55,10.25
"2023-04-09 11:00:00",,15.55,10.98
"2023-04-09 12:00:00",,15.08,10.56
"2023-04-09 13:00:00",,18.01,12
"2023-04-09 14:00:00",,16.25,10.98
"2023-04-09 15:00:00",,14.81,10.46
"2023-04-09 16:00:00",,11.21,7.49
"2023-04-09 17:00:00",,7.84,5.64
"2023-04-09 18:00:00",,9.63,7.27
"2023-04-09 19:00:00",,10.6,7.46
"2023-04-09 20:00:00",,7.38,5.44
"2023-04-09 21:00:00",,5.28,3.73
"2023-04-09 22:00:00",,5.84,4.1
"2023-04-09 23:00:00",,1.61,1.33
"2023-04-10 00:00:00",,0.89,0.65
"2023-04-10 01:00:00",,4.94,2.61
"2023-04-10 02:00:00",,7.6,4.03
"2023-04-10 03:00:00",,6.96,4.13
"2023-04-10 04:00:00",,8.87,5.21
"2023-04-10 05:00:00",,8.46,5.1
"2023-04-10 06:00:00",,8.48,4.9
"2023-04-10 07:00:00",,8.59,4.84
"2023-04-10 08:00:00",,7.94,4.43
"2023-04-10 09:00:00",,5.05,3.27
"2023-04-10 10:00:00",,3.61,2.22
"2023-04-10 11:00:00",,2.44,1.53
"2023-04-10 12:00:00",,3.08,1.99
"2023-04-10 13:00:00",,2.85,1.66
"2023-04-10 14:00:00",,2.41,1.48
"2023-04-10 15:00:00",,2.8,1.54
"2023-04-10 16:00:00",,2.52,1.58
"2023-04-10 17:00:00",,4.14,1.97
"2023-04-10 18:00:00",,3.71,2.25
"2023-04-10 19:00:00",,4.74,3.02
"2023-04-10 20:00:00",,6.44,4.1
"2023-04-10 21:00:00",,7.59,4.57
"2023-04-10 22:00:00",,7.8,4.53
"2023-04-10 23:00:00",,7.26,4.13
"2023-04-11 00:00:00",,9.1,4.69
"2023-04-11 01:00:00",,10.23,5.32
"2023-04-11 02:00:00",,11.38,5.72
"2023-04-11 03:00:00",,12.4,6.09
"2023-04-11 04:00:00",,11.49,5.85
"2023-04-11 05:00:00",,10.33,5.05
"2023-04-11 06:00:00",,10.59,4.8
"2023-04-11 07:00:00",,9.01,4.31
"2023-04-11 08:00:00",,14.96,6.36
"2023-04-11 09:00:00",,13.06,5.08
"2023-04-11 10:00:00",,12.08,5.02
"2023-04-11 11:00:00",,11.95,5.51
"2023-04-11 12:00:00",,9.13,4.86
"2023-04-11 13:00:00",,2.26,1.18
"2023-04-11 14:00:00",,1.61,0.97
"2023-04-11 15:00:00",,2.68,1.49
"2023-04-11 16:00:00",,4.01,2.63
"2023-04-11 17:00:00",,5.63,4.1
"2023-04-11 18:00:00",,15.47,13.74
"2023-04-11 19:00:00",,2.62,1.88
"2023-04-11 20:00:00",,3.36,2.36
"2023-04-11 21:00:00",,4.79,3.14
"2023-04-11 22:00:00",,5.84,3.5
"2023-04-11 23:00:00",,5.3,3.18
"2023-04-12 00:00:00",,5.56,3.28
"2023-04-12 01:00:00",,6.73,3.65
"2023-04-12 02:00:00",,5.1,2.96
"2023-04-12 03:00:00",,3.97,2.18
"2023-04-12 04:00:00",,3.53,2.09
"2023-04-12 05:00:00",,5.36,2.77
"2023-04-12 06:00:00",,7.89,3.66
"2023-04-12 07:00:00",,13.08,5.96
"2023-04-12 08:00:00",,8.07,4.71
"2023-04-12 09:00:00",,5.27,2.76
"2023-04-12 10:00:00",,2.81,1.59
"2023-04-12 11:00:00",,4.51,2.54
"2023-04-12 12:00:00",,4.02,2.22
"2023-04-12 13:00:00",,3.66,2.16
"2023-04-12 14:00:00",,2.65,1.68
"2023-04-12 15:00:00",,1.99,1.44
"2023-04-12 16:00:00",,2.79,1.9
"2023-04-12 17:00:00",,2.7,1.92
"2023-04-12 18:00:00",,4.74,3.31
"2023-04-12 19:00:00",,6.32,4.1
"2023-04-12 20:00:00",,12.85,7.45
"2023-04-12 21:00:00",,9.41,5.67
"2023-04-12 22:00:00",,10.13,5.98
"2023-04-12 23:00:00",,7.95,4.75
"2023-04-13 00:00:00",,9.58,5.45
"2023-04-13 01:00:00",,11.71,6.25
"2023-04-13 02:00:00",,12.13,6.76
"2023-04-13 03:00:00",,11.88,6.42
"2023-04-13 04:00:00",,8.72,4.77
"2023-04-13 05:00:00",,7.25,3.86
"2023-04-13 06:00:00",,6.45,3.36
"2023-04-13 07:00:00",,6.81,3.43
"2023-04-13 08:00:00",,7.55,3.42
"2023-04-13 09:00:00",,8.08,3.63
"2023-04-13 10:00:00",,8.62,4.29
"2023-04-13 11:00:00",,9.27,4.34
"2023-04-13 12:00:00",,8.51,4.24
"2023-04-13 13:00:00",,9,4.18
"2023-04-13 14:00:00",,8.3,3.74
"2023-04-13 15:00:00",,6.34,3.35
"2023-04-13 16:00:00",,5.99,3.17
"2023-04-13 17:00:00",,6.24,3.25
"2023-04-13 18:00:00",,4.78,2.74
"2023-04-13 19:00:00",,6.9,3.62
"2023-04-13 20:00:00",,7.66,4.49
"2023-04-13 21:00:00",,18.38,12.54
"2023-04-13 22:00:00",,44.05,32.4
"2023-04-13 23:00:00",,33.73,20.66
"2023-04-14 00:00:00",,21.83,12.53
"2023-04-14 01:00:00",,14.43,8.76
"2023-04-14 02:00:00",,12.2,7.61
"2023-04-14 03:00:00",,14.55,9.95
"2023-04-14 04:00:00",,17.33,10.94
"2023-04-14 05:00:00",,13.43,9.2
"2023-04-14 06:00:00",,14.88,8.73
"2023-04-14 07:00:00",,14.69,7.99
"2023-04-14 08:00:00",,16.77,8.04
"2023-04-14 09:00:00",,17.55,7.16
"2023-04-14 10:00:00",,10.77,4.89
"2023-04-14 11:00:00",,8.59,3.99
"2023-04-14 12:00:00",,7.82,3.78
"2023-04-14 13:00:00",,8.08,4.02
"2023-04-14 14:00:00",,6.85,3.64
"2023-04-14 15:00:00",,5.53,2.77
"2023-04-14 16:00:00",,4.92,1.89
"2023-04-14 17:00:00",,3.61,1.64
"2023-04-14 18:00:00",,3.59,1.8
"2023-04-14 19:00:00",,4.01,2.13
"2023-04-14 20:00:00",,4.92,3.14
"2023-04-14 21:00:00",,7.05,4.51
"2023-04-14 22:00:00",,8.98,5.95
